,Building_Age,DwellingTypeDescr,TotalFloorArea,Building_Volume,NoStoreys,ThermalBridgingFactor,GroundFloorArea,FirstFloorArea,SecondFloorArea,ThirdFloorArea,GroundFloorHeight,FirstFloorHeight,SecondFloorHeight,ThirdFloorHeight,UValueWall,UValueRoof,UValueFloor,UValueWindow,UvalueDoor,HSMainSystemEfficiency,MainSpaceHeatingFuel,MainWaterHeatingFuel,WHMainSystemEff,HSEffAdjFactor,HeatExchangerEff,PermeabilityTestResult,NoOfChimneys,NoOfFansAndVents,DraftLobby,VentilationMethod,BerRating,CO2Rating,LowEnergyLightingPercent,DeliveredLightingEnergy,DeliveredEnergyPumpsFans,Energy_Consumption_kWhm2
GroundFloorHeight,0.01903795671092031,-0.09541633713138128,0.15318344546461488,0.23242898891620828,0.030379862612174686,-0.07373521153136864,0.2361091488259849,0.017169309620786367,-0.0833485868401269,-0.14671129891887583,1.0,-0.03025469734001011,-0.061573228450777194,-0.07217478200193088,-0.0024847397529399605,0.013780159007731765,0.023176101664551314,-0.046076938348640045,0.011845747559339264,0.0714362081449888,-0.004168553179302378,-0.0051523921573177036,0.06592734996341142,-0.0034581971234974814,0.06703242402897955,0.043138680219347414,0.0594029319819612,-0.009204180614126752,-0.05945578257322477,-0.004426101196170984,-0.014025866146070211,-0.0059331811353016345,-0.015261486588731011,0.07782575658929022,0.0614875063011809,-0.0929627380927763
FirstFloorHeight,-0.0118897143466317,0.21004326645365168,0.2947669858035025,0.30918084512640015,0.8273761302239137,-0.11454785951743769,-0.2594796936232499,0.7955768934620366,0.1289984322918388,-0.020394588048052015,-0.03025469734001011,1.0,0.15331481743762657,0.0052237669591432495,0.00448222001106525,0.10000736494377489,0.1072223586459831,-0.061358470497421075,0.1421707709763602,0.0761842644554824,0.16336821505142365,0.15537391893781427,0.05294754427353451,-0.017158068357882802,0.004778166908830577,0.11561454975781206,0.14033254530734565,0.12297413541917653,-0.3638364152039834,0.061902937769434584,-0.18013411394145176,-0.17982220201606142,0.03358599530254731,0.14744402526104944,0.11057091520868755,-0.01840513791925272
SecondFloorHeight,-0.03947847677944418,0.04278235423290147,0.18195423074623673,0.18755689383643162,0.4356409153107698,-0.1106381380423999,-0.07711842118078044,0.13477080578682468,0.8704378644617272,0.0706184443540412,-0.061573228450777194,0.15331481743762657,1.0,0.08152765055215225,-0.035521167619744616,0.03194476407790213,-0.06951537552940912,-0.08138061828022779,-0.016893002774322284,0.0627238029853692,-0.001935216236903097,-0.004285782515835965,0.06494909668083158,0.055204938157046045,0.07069948966102142,0.10454915016149362,-0.022013926229820575,0.06038684107142947,-0.04887299135517167,0.0032477682119444106,-0.09924627839484113,-0.10056614613951975,0.035636642032069336,0.08794402147610131,0.02080233495805325,-0.003394652994761411
ThirdFloorHeight,0.025871842248703533,-0.016031054495853406,0.06822095262806896,0.075280070445171,0.04779636454475365,0.014514740728223268,-0.010552324968968059,0.013648140734794395,0.06851661489693833,0.6635861437342293,-0.07217478200193088,0.0052237669591432495,0.08152765055215225,1.0,0.008276132434921228,0.01644048925489959,0.0005563365344008963,0.009339205937037132,0.0026329677925207217,-0.015564203654484817,0.0028776403732923366,0.0019247039725225465,-0.010992225571810076,-0.00870715174848856,0.0011225043570253738,-0.010123418963381845,0.026521431693843123,0.023546807887771127,0.013183355284491565,-0.013391182123822284,0.005589119958095904,0.005574487068903224,0.023252742964707324,0.08326616267054637,-0.01323897550830585,-0.001484062656265865
UValueWall,0.6470160362427659,0.021598271306834935,-0.12238034980803536,-0.11807621524385081,-0.006320443307124381,0.2696787335214547,-0.09673540553864123,-0.07756577812230243,-0.04460834811763511,0.0022565168531194103,-0.0024847397529399605,0.00448222001106525,-0.035521167619744616,0.008276132434921228,1.0,0.578042573904203,0.46809579165727516,0.48112890100992967,0.08284309391006907,-0.2294665976914138,0.09647982735376452,0.08067471551618563,-0.2294357634095627,-0.1365420843026705,-0.160977577966083,-0.22394295945499587,0.2662158408722752,-0.19219071636119747,0.026180031599030717,-0.05043939032489922,0.6769242137823397,0.5982311501017111,-0.15385549708033894,0.012860330472389898,0.025455149970893657,0.0015544225816354295
UValueRoof,0.5199555683071796,-0.004498520872040219,-0.0011932815051630351,-0.0016597196609411872,0.13401709174480542,0.15921053422897055,-0.03221845239164893,0.03255866933775403,0.014414895782932476,0.007599572297844643,0.013780159007731765,0.10000736494377489,0.03194476407790213,0.01644048925489959,0.578042573904203,1.0,0.38639833037357907,0.3572194722909565,0.12308065097941015,-0.13970024069122103,0.06632759214446816,0.04805232964202094,-0.14321896287942343,-0.09927632707039966,-0.10044978400817779,-0.10099457422086025,0.244500865654708,-0.14560134816457782,-0.07995419154497857,-0.026918478619265253,0.5840404960178586,0.5320893010078649,-0.1367903263595726,0.08401369907451466,0.05799232130238485,0.004227449999698839
UValueFloor,0.5989542983338644,-0.2048764256384739,-0.022798595267182725,-0.03502730405460559,0.09970876325076704,0.380456239807514,-0.015417549942847027,0.008207018244996658,-0.08082317946373381,-0.02584452490819028,0.023176101664551314,0.1072223586459831,-0.06951537552940912,0.0005563365344008963,0.46809579165727516,0.38639833037357907,1.0,0.4669132357108361,0.28935181777541746,-0.3100751179277848,0.22389799693266726,0.21772487636322319,-0.3278249554441058,-0.24201511768476544,-0.23847672682326587,-0.2604544154649409,0.35116538438389155,-0.18910788432595238,-0.24458137508103658,-0.05952469468739794,0.5790555842799523,0.561267128175136,-0.09021010983115202,0.114937331508068,0.13288297631754692,-0.012578991576861272
UValueWindow,0.4599829724514846,-0.03184477166838179,-0.13075227350093965,-0.13948352665764607,-0.06255445603216908,0.5028064029870959,-0.05928869922800481,-0.12543733153138922,-0.08573274529719582,-0.002412015557007194,-0.046076938348640045,-0.061358470497421075,-0.08138061828022779,0.009339205937037132,0.48112890100992967,0.3572194722909565,0.4669132357108361,1.0,0.24825745897050777,-0.43770381057385216,0.15256895751021193,0.14386409761162858,-0.4370605839867486,-0.2352871180840771,-0.30011476255492764,-0.3891053001072531,0.3244934669679777,-0.1209345374120613,-0.00664609148341846,-0.09078938251490969,0.6285661287256942,0.5790708586482307,-0.15000841462480996,0.12110728930726089,-0.03287767827701659,0.003024369479138919
UvalueDoor,0.15556341436201104,-0.10482801665594735,0.1073145353920458,0.09462905127661665,0.14880727471063449,0.2932448478520207,0.059855569013398786,0.1193963990637275,-0.021237656923329892,-0.015125271399178025,0.011845747559339264,0.1421707709763602,-0.016893002774322284,0.0026329677925207217,0.08284309391006907,0.12308065097941015,0.28935181777541746,0.24825745897050777,1.0,-0.25101662684258286,0.1633468790313282,0.16049856802986825,-0.26220705168527303,-0.1637657246709133,-0.19043667071300513,-0.21370136094034584,0.21606670233165012,0.03663333860148478,-0.29792808435356577,-0.06329150347766774,0.2074459634665665,0.21895167873667165,-0.04639024061198841,0.19881735670238426,0.092538447995561,-0.008037201955353682
HSMainSystemEfficiency,-0.27034101401134025,0.014102439013368965,0.12106836424595815,0.13735403217946107,0.060129697474012506,-0.45184456217812774,0.049092008029981975,0.12733779146843097,0.07106800637705185,-0.007613934420268622,0.0714362081449888,0.0761842644554824,0.0627238029853692,-0.015564203654484817,-0.2294665976914138,-0.13970024069122103,-0.3100751179277848,-0.43770381057385216,-0.25101662684258286,1.0,-0.5084275780559546,-0.48821267055750817,0.8900960321238582,0.20056731511185563,0.22195083459959983,0.40374273403241356,-0.2026358615784928,-0.014220545375691474,-0.060584508925420444,0.17446808356431892,-0.3930995342302141,-0.3635070146995471,0.0014423978351244436,-0.15407045012054696,-0.00645794475512453,-0.0015506577786980448
